Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,Special Note
ATG22,YCL038C,1587,***,***,58843.6,8.61,7,1.65,0.033,528,10,0.9,2.5,2.5,3.4,
YM8M,YMR279C,1623,**,**,59561.6,8.31,6.5,1.77,0.033,540,13,1.1,4.1,2.6,3.7,
YIQ6,YIL166C,1629,*,*,61897.9,9.24,13,1.55,0.022,542,12,1.1,2.6,2,4.8,
YM30,YMR155W,1644,*,*,60043.8,8.22,10,0.93,0.11,547,10,2.4,2,0.7,4.8,
HRD1,YOL013C,1656,-,-,63534.8,5.45,-8,1.07,0.623,551,4,1.6,2.5,1.6,2.4,
YOL19,YOL019W,1656,*,*,60900.9,6.32,-1,0.81,0.641,551,4,0.9,2,0.5,4.5,
PEX29,YDR479C,1665,**,**,63542.5,6.05,-3,1.32,0.042,554,4,0.4,3.1,1.8,3.8,
VBA1,YMR088C,1689,**,**,62639.3,9.02,13,1.26,0.089,562,12,1.6,1.8,1.4,4.6,
HNM1,YGL077C,1692,***,***,62055.9,6.85,3,1.77,0.024,563,12,2.8,2.7,2.7,3.4,
YIM0,YIL120W,1692,**,*,61758.6,9.56,22,1.05,0.083,563,11,2.1,1.8,1.4,2.7,
HXT3,YDR345C,1704,***,***,62557.4,7.1,1.5,1.57,0.027,567,11,2.6,4.4,1.9,4.9,
HXT11,YOL156W,1704,*,*,62732.5,8.6,9.5,1.69,0.017,567,11,1.8,3.2,2.3,4.4,
HXT7,YDR342C,1713,,,62734.9,7.84,5,1.69,0.035,570,11,1.9,3.5,2.3,4.4,failed in cloning
HXT1,YHR094C,1713,***,***,63261.2,7.45,4,1.67,0.023,570,11,3.2,4.2,2.1,5.1,
UGA4,YDL210W,1716,,,61872.8,6.63,0.5,1.78,0.018,571,11,2.5,2.5,2.5,4.2,failed in cloning
YB30,YBR180W,1719,**,**,63406.7,9.04,15,1.3,0.024,572,12,1.4,2.8,1.7,3.5,
TPN1,YGL186C,1740,-,-,64546.2,8.83,16,2.08,0.019,579,10,2.2,2.8,3.1,4.3,
ITR1,YDR497C,1755,***,***,63569.5,6.51,0,1.02,0.031,584,12,1.5,2.2,1.4,2.6,
TAT2,YOL020W,1779,*,*,65404.2,8.42,14,1.79,0.015,592,12,2.4,1.9,2.9,2.7,
THIY,YOR192C,1800,**,**,67185.3,7.2,4.5,2.27,0.26,599,10,2.7,3,3.3,5,HIS>>>FLAG
GAP1,YKR039W,1809,*,*,65655.4,8.67,9,1.67,0.017,602,12,1,2.5,2.5,3.2,
YN8N,YNR039C,1818,-,-,67460.7,7.15,4,0.85,0.02,605,6,0.7,2,1,3,
MPH23,YDL247W,1830,**,**,67256.7,8.04,7,1.81,0.029,602,12,3,2,2.7,4,FLAG signal only
AZR1,YGR224W,1842,**,**,67168.5,9.26,14.5,1.08,0.044,613,13,1.5,2,1.3,3.4,
ECM3,YOR092W,1842,-,-,68014.5,8.3,7.5,1.02,0.459,613,8,1.5,2.6,1.5,2.3,
TPO2,YGR138C,1845,***,***,67588.3,7.01,2,1.61,0.016,614,12,2.1,3.4,2.1,4.4,
YO175,YOR175C,1860,***,***,72227.8,9.94,36,1.65,0.171,619,7,1.5,3.1,2.3,5,HIS>>>FLAG
YM08,YMR119W,1875,*,-,71443.9,5.59,-5,0.95,0.038,624,5,3,1.9,1.1,3.5,
AGP1,YCL025C,1902,*,*,64865.8,7.51,6,1.33,0.023,595,12,1.7,2.5,1.7,3.9,
DAL4,YIR028W,1908,**,**,71756,7.92,7,2.26,0.05,635,11,2.2,1.7,3.5,4.6,
YNJ5,YNL095C,1929,-,-,71195.3,7.63,4.5,1.01,0.451,642,9,1.7,3.3,1.4,2.5,
TPO4,YOR273C,1980,***,***,73222.7,8.39,7.5,1.39,0.021,659,11,0.8,3.6,2,3.3,HIS>>>FLAG
SEC63,YOR254C,1992,**,**,75344.4,4.89,-17.5,0.96,0.356,663,3,1.1,1.4,1.2,3.2,HIS>>>FLAG
ASI3,YNL008C,2010,-,-,76741,6.51,0,1.04,0.137,669,4,2.4,1.9,1.2,4,
YL413,YLR413W,2028,***,***,72697.7,4.77,-11.5,0.72,0.044,675,4,1.3,3.7,0.9,2.1,
YVC1,YOR087W,2028,,,77952.7,5,-12,1.23,0.673,675,7,1.3,2.7,1.3,5.2,failed in cloning
FRE5,YOR384W,2085,*,*,80292.1,8.83,23,2.03,0.932,694,6,1.7,2.2,3,4.9,
FRE3,YOR381W,2136,*,*,80589,7.1,6,1.66,0.877,711,7,2.1,2.4,1.7,7.2,
MSC2,YDR205W,2175,*,*,80577.4,7.83,17,0.74,0.494,724,13,1,1.7,0.8,2.8,
GPT2,YKR067W,2232,***,*,83644.7,10,37,0.69,0.048,743,4,1.1,1.3,0.5,3.6,HIS>>>FLAG
YKS7,YKL187C,2253,***,***,81032.8,4.64,-16,0.74,0.571,750,4,0.5,1.7,0.8,2.7,HIS>>>FLAG
TUL1,YKL034W,2277,-,-,87879.3,6.55,0.5,1.49,0.776,758,8,1.3,2.5,1.8,5.3,
PMT4,YJR143C,2289,-,-,87966,6.93,6.5,2.06,0.053,762,11,1.4,1.6,3,5.1,
YGN9,YGL139W,2409,*,*,90761.2,7.51,6,1.43,0.76,802,10,1.2,3,1.9,4.4,
YJF1,YJL051W,2469,,,91256.2,6.64,2,0.47,0.428,822,4,0.9,1.6,0.4,2.4,failed in cloning
YJG2,YJL062W,2493,-,-,94850.8,6.03,-6,1.78,0.57,830,9,1.3,2.7,2.9,3,
SSY1,YDR160W,2559,-,-,95744.1,9.03,19,1.14,0.02,852,12,0.8,2.3,1.2,4.8,
SUL2,YLR092W,2682,**,**,99650.5,6.65,1.5,1.51,0.018,893,8,1.6,1.1,1.9,4.7,
MCD4,YKL165C,2760,**,**,105693,6.71,3,1.46,0.35,919,14,0.5,2.1,1.9,4.9,
CWH43,YCR017C,2862,**,**,107882,6.21,-4.5,1.85,0.557,953,19,0.9,2.5,2.4,5.7,
GPR1,YDL035C,2886,-,-,110709,7.1,5.5,1.51,0.052,961,6,1.1,1.9,2.2,3.9,
CHS2,YBR038W,2892,**,*,109881,8.86,22.5,1.38,0.035,963,7,1.2,2.5,1.8,4.5,
ATN5,YDR038C,3276,**,**,120296,5.19,-17,1.02,0.022,1091,10,1.5,2.7,1.5,2.3,
ATN2,YDR039C,3276,,,120317,5.19,-17,1.02,0.022,1091,10,1.5,2.7,1.5,2.3,failed in cloning
CHS3,YBR023C,3498,,,131601,6.68,2.5,1.39,0.02,1165,6,1.9,2.6,2,3.5,failed in cloning
ATC6,YEL031W,3648,**,**,135268,6.56,0.5,0.84,0.201,1215,10,1.1,2.6,1,2.9,
ATU,YBR295W,3651,-,-,131839,7.54,16,0.49,0.03,1216,7,3.5,1.6,0.5,2,
NFT1,YKR0103W,3657,-,-,176331,8.78,29.5,1.2,0.253,1558,15,1.7,2.2,1.6,3.5,
ATC3,YAL026C,4028,***,**,153844,5.25,-21.5,1.11,0.02,1355,9,1,2.1,1.3,3.9,
NTE1,YML059C,5040,-,-,187132,8.24,29,0.88,0.027,1679,3,0.6,2.2,1,3.4,
YO21B,YOR192C-B,5313,**,**,201984,8.44,39.5,0.94,0.036,1770,0,0.8,1.7,0.8,4.6,
CCH1,YGR217W,6120,,,234598,8.54,33.5,1.38,0.051,2039,22,1.3,2.6,1.7,5,failed in cloning
