Protein Name,SGD ID,Gene length (bp),expression,Solubilization DDM,Molecular Weight (Da),PI,Charge,Extiction Coefficient,DScore,#Amino acids,#TMH,Cys%,Met%,Trp%,Tyr%,PFAM_count,Special Note
YHU0,YHR140W,720,*,*,27145.9,10.07,16,1.55,0.692,239,6,0.8,2.5,1.7,6.3,35,HIS>>>FLAG
CTR3,YLR411W,726,**,**,27533.9,7.81,3,2.05,0.118,241,3,4.6,2.5,2.9,5.4,173,
NSG1,YHR133C,780,*,*,32214.4,9.09,7,1.02,0.045,291,5,1.4,1.7,1.4,2.7,37,
RBD2,YPL246C,789,–,–,29499.5,7.58,3,2,0.501,262,5,1.1,1.1,2.7,5.7,862,
COX3,Q0275,810,–,–,30359.6,7.08,4.5,2.32,0.45,269,7,0.7,4.8,3.3,5.6,3382,
GMH1,YKR030W,822,*,*,31993.2,9.31,10,1.57,0.033,273,5,1.5,2.6,1.8,6.2,42,
YP162,YPL162C,822,**,*,31346.5,6.35,-0.5,1.5,0.321,273,5,2.2,2.2,2.2,3.7,103,
YB37,YBR187W,843,,,30340.4,5.11,-4.5,0.67,0.732,280,5,0.4,6.1,0.7,2.5,605,failed in cloning
GPI2,YPL076W,843,faint,–,32577.2,9.77,9.5,2.16,0.282,280,6,0.7,1.4,3.2,5.4,51,
CRD1,YDL142C,852,*,–,32019.6,10.14,16,1.13,0.25,283,3,1.1,2.1,1.1,5.3,455,
YD367,YDR367W,854,,,25483.8,8.19,4,1.84,0.641,221,4,2.3,1.8,2.7,4.5,18,dropped as intron
GET2,YER083C,858,**,**,31493.3,9.96,9,1.27,0.04,285,3,0,1.8,1.8,3.2,6,FLAG signal only
ERV29,YGR284C,933,*,*,35012.8,10.02,16,1.47,0.055,310,7,1,2.3,1.6,5.8,64,
YIF1,YNL263C,945,**,**,35497.9,9.14,6,1.18,0.022,314,5,1,3.5,1.3,4.8,70,
YPC1,YBR183W,951,**,**,36419.6,8.41,7.5,2.73,0.205,316,4,1.6,1.9,4.1,6.3,56,FLAG signal only
COX18,YGR062C,951,*,–,35650.1,11.8,27,1.33,0.132,316,3,0.6,3.2,2.2,1.9,580,
YD352,YDR352W,954,**,**,35178.9,4.64,-7.5,1.1,0.377,317,5,1.9,0.9,0.9,5.4,966,
YDC1,YPL087W,954,**,**,37230.7,7.17,2.5,3.01,0.131,317,7,1.3,3.2,4.7,6.6,56,
ARV1,YLR242C,966,faint,–,38194.2,9.22,14.5,2.15,0.24,321,3,2.5,2.2,2.8,7.5,44,
CCC1,YLR220W,969,*,*,34249.8,4.71,-7,0.71,0.165,322,3,0,2.2,0.6,3.1,273,FLAG signal only
YO073,YOL073C,969,***,***,35762.1,8.07,4.5,2.06,0.492,322,4,0.9,1.6,3.1,4,40,
YO271,YOR271C,984,***,**,35414.1,10.47,17,0.82,0.036,327,4,0.6,2.8,1.2,1.5,96,
YO228,YOR228C,1005,,,33989,10.53,22,1.47,0.035,302,5,1,2.3,2.3,2.6,36,failed in cloning
TVP38,YKR088C,1014,**,**,38311.3,6.25,-1,1.03,0.017,337,5,0.3,3.3,1.2,3.9,1246,
DFM1,YDR411C,1026,*,–,38130.5,9.8,14,1.91,0.181,341,4,1.5,2.6,2.6,5,137,
PCP1,YGR101W,1041,**,–,38815.2,10.78,27,2.11,0.265,346,6,0.9,3.2,3.2,4.3,862,
PER1,YCR044C,1074,*,–,42541.4,6.87,2.5,2.13,0.731,357,6,3.4,2.8,3.1,6.2,43,
YO390,YOR390W,1128,*,*,41985.1,8.58,11.5,1.2,0.286,375,9,2.9,3.7,1.3,4.5,473,FLAG signal only
ZRT1,YGL255W,1131,**,**,41581.6,5.6,-3.5,2,0.122,376,8,1.6,1.9,2.9,4.3,204,FLAG signal only
YG3W,YGR168C,1131,*,–,44300.9,10.97,45.5,1.37,0.167,376,5,1.1,2.4,2.1,3.2,212,
PRM10,YJL108C,1152,–,–,41488.4,8.09,6.5,1.39,0.105,383,10,2.6,3.1,1.8,3.7,250,
YMR173W-A,YMR173W-A,1185,–,–,43890.3,12.69,34,0.03,0.585,394,10,0.8,13.2,0,0.3,26616,
YD018,YDR018C,1191,*,–,45938.6,10.01,25,1.4,0.517,396,4,1.8,2.3,1.8,4.8,145,
GPI14,YJR013W,1212,*,*,47166.2,9.33,15,2.38,0.515,403,8,1.5,1.7,3.2,7.4,63,
CTR1,YPR124W,1221,*,*,44441.5,6.1,-2,0.77,0.043,406,3,1.7,9.1,1,2.2,173,
BTN1,YJL059W,1227,**,**,46383.1,7.18,3,1.34,0.539,408,11,1.7,2.7,1.5,5.4,70,
Q6LD26,YHL003C,1236,*,*,48454.4,9.17,12.5,1.93,0.063,411,7,1.2,3.2,2.7,5.8,189,
YKA8,YKL008C,1257,**,–,48991.9,9.81,20,1.76,0.019,418,7,1,2.9,2.4,5.5,189,
YK31,YKR051W,1257,*,*,48756.7,8.54,10.5,2.25,0.631,418,7,2.6,1.9,3.1,6.7,118,
GPI18,YBR004C,1302,faint,–,50772.6,9.81,22.5,2.25,0.599,433,8,1.8,0.9,3.2,6.2,53,
GPT,YBR243C,1347,faint,–,50367.9,8.51,11,1.39,0.501,448,7,2.2,3.3,1.8,4.2,845,
ALG3,YBL082C,1377,**,*,52860.8,9.09,17.5,1.93,0.054,458,9,2.2,4.6,2.8,4.8,43,
SSU1,YPL092W,1377,*,*,52545.1,8.6,11,1.98,0.347,458,9,2.2,4.6,2.6,6.1,256,
PEX31,YGR004W,1389,*,*,52942.7,9.74,14,1.7,0.015,462,4,0.4,2.4,2.6,3.7,1079,
TMS1,YDR105C,1422,**,**,52230,5.15,-5,1.96,0.402,473,10,2.7,2.7,2.7,4.7,125,
COX15,YER141W,1461,–,–,54658.2,10.83,36,1.8,0.101,486,8,0.6,3.3,3.1,2.1,293,
GWT1,YJL091C,1473,*,*,55466.2,9.69,19.5,1.58,0.069,490,12,1.8,1.6,2,4.9,41,
ICE2,YIL090W,1476,*,*,56332.7,9.02,17,1.93,0.498,491,8,2.9,1.4,2.6,5.5,17,
ACO1,YGL055W,1533,**,**,58402.8,9.33,19.5,1.99,0.032,510,4,0.8,2.7,2.9,4.7,1574,FLAG signal only
FUN26,YAL022C,1554,*,*,58317.1,4.69,-14.5,1.11,0.056,517,11,0.8,3.7,1.5,2.9,185,FLAG signal only
PTM1,YKL039W,1572,***,***,61006.2,4.68,-13,1.27,0.774,531,7,1.9,3,1.1,6.4,104,HIS>>>FLAG
ALG10,YGR227W,1578,,,61807.5,9.75,24.5,1.85,0.089,525,11,1.5,2.5,2.7,5.1,41,failed in cloning
YHB7,YHL017W,1599,**,**,61205.8,4.31,-25.5,1.41,0.938,532,7,2.4,2.4,1.5,6,104,
PNS1,YOR161C,1620,***,***,60250.7,8.38,11,1.68,0.017,539,10,2.2,3.2,2,5.6,121,
YHN8,YHR078W,1659,*,*,63330.7,7.45,3.5,1.24,0.815,552,8,1.3,2.2,1.4,4.7,255,
FET4,YMR319C,1659,****,****,62791.8,5.17,-9,1.84,0.081,552,7,1.6,2.4,2.9,3.4,7,
YEX0,YER140W,1671,*,–,64793.9,10.29,37,1.09,0.032,556,5,0.9,3.2,1.3,4.3,51,
RFT1,YBL020W,1725,**,**,66210.7,9.54,17.5,1.22,0.19,574,12,1.2,1.7,1.6,4,47,
YN15,YNL275W,1731,**,**,65027.5,7.92,7.5,0.9,0.037,576,10,1.7,2.4,1,3.3,272,
YKK0,YKL100C,1764,**,**,67525,5.25,-11.5,1.42,0.031,587,7,0.9,2,1.9,4.4,130,FLAG signal only
PTR2,YKR093W,1806,*,*,68043.4,5.04,-9,1.63,0.016,601,11,2,3,2.2,4.8,737,
GPI1,YGR216C,1830,–,–,70354.2,9.4,22.5,1.04,0.076,609,6,1.6,2.5,0.8,5.7,53,
GAA1,YLR088W,1845,–,–,69221,6.2,-2.5,1.57,0.405,614,6,1,3.1,2.4,2.9,48,
STT3,YGL022W,2157,*,*,81528.7,8.15,8,2.05,0.618,718,13,0.7,3.1,2.9,5.2,178,
PHO87,YCR037C,2272,*,*,102539,6.23,-2.5,0.94,0.149,923,12,1.2,2.7,1.3,2.4,167,
GEF1,YJR040W,2340,**,**,87591.4,7.11,4.5,1.22,0.057,779,11,1.8,2.2,1.5,3.9,742,FLAG signal only
PXA1,YPL147W,2613,*,–,100025,10,38,0.95,0.318,870,3,0.7,2.2,1,3.9,263,
YJT8,YJL198W,2646,**,**,97688.3,7.1,4,1.07,0.043,881,12,1.1,2.5,1.4,3.2,167,
TRK2,YKR050W,2670,–,–,101086,10.04,43.5,1.03,0.22,889,10,1.2,2.6,1.4,3.1,570,
YN86,YNR013C,2685,**,**,99490.1,8.12,13,1,0.077,894,12,1.1,3.4,1.5,2.2,456,
YBS4,YBR074W,2931,**,**,111068,6.51,0,1.17,0.485,976,9,0.9,1.7,1.3,4.5,148,HIS>>>FLAG
ATG9,YDL149W,2994,*,*,115402,5.82,-9.5,1.05,0.032,997,6,0.8,1.6,1.1,4.6,69,
BST1,YFL025C,3090,**,**,117755,6.72,3,1.19,0.12,1029,8,0.9,2.4,1.5,4.2,671,FLAG signal only
YGO0,YGL140C,3660,,,137476,8.21,19.5,1,0.243,1219,11,1.6,2.5,1.1,3.7,144,failed in cloning
TRK1,YJL129C,3708,,,141073,8.77,28.5,1.04,0.351,1235,8,0.7,2.3,1.3,3.6,570,failed in cloning
